BinIndex;BinRange;Count
Bin134;67000.0000000000-67500.0000000000;0
Bin135;67500.0000000000-68000.0000000000;0
Bin136;68000.0000000000-68500.0000000000;0
Bin137;68500.0000000000-69000.0000000000;0
Bin138;69000.0000000000-69500.0000000000;0
Bin139;69500.0000000000-70000.0000000000;0
Bin140;70000.0000000000-70500.0000000000;0
Bin141;70500.0000000000-71000.0000000000;0
Bin142;71000.0000000000-71500.0000000000;0
Bin143;71500.0000000000-72000.0000000000;0
Bin144;72000.0000000000-72500.0000000000;0
Bin145;72500.0000000000-73000.0000000000;0
Bin146;73000.0000000000-73500.0000000000;0
Bin147;73500.0000000000-74000.0000000000;0
Bin148;74000.0000000000-74500.0000000000;0
Bin149;74500.0000000000-75000.0000000000;0
Bin150;75000.0000000000-75500.0000000000;0
Bin151;75500.0000000000-76000.0000000000;0
Bin152;76000.0000000000-76500.0000000000;0
Bin153;76500.0000000000-77000.0000000000;0
Bin154;77000.0000000000-77500.0000000000;0
Bin155;77500.0000000000-78000.0000000000;0
Bin156;78000.0000000000-78500.0000000000;0
Bin157;78500.0000000000-79000.0000000000;0
Bin158;79000.0000000000-79500.0000000000;0
Bin159;79500.0000000000-80000.0000000000;0
Bin160;80000.0000000000-80500.0000000000;0
Bin161;80500.0000000000-81000.0000000000;0
Bin162;81000.0000000000-81500.0000000000;0
Bin163;81500.0000000000-82000.0000000000;0
Bin164;82000.0000000000-82500.0000000000;0
Bin165;82500.0000000000-83000.0000000000;0
Bin166;83000.0000000000-83500.0000000000;0
Bin167;83500.0000000000-84000.0000000000;0
Bin168;84000.0000000000-84500.0000000000;0
Bin169;84500.0000000000-85000.0000000000;0
Bin170;85000.0000000000-85500.0000000000;0
Bin171;85500.0000000000-86000.0000000000;0
Bin172;86000.0000000000-86500.0000000000;0
Bin173;86500.0000000000-87000.0000000000;0
Bin174;87000.0000000000-87500.0000000000;0
Bin175;87500.0000000000-88000.0000000000;0
Bin176;88000.0000000000-88500.0000000000;0
Bin177;88500.0000000000-89000.0000000000;0
Bin178;89000.0000000000-89500.0000000000;0
Bin179;89500.0000000000-90000.0000000000;0
Bin180;90000.0000000000-90500.0000000000;0
Bin181;90500.0000000000-91000.0000000000;0
Bin182;91000.0000000000-91500.0000000000;0
Bin183;91500.0000000000-92000.0000000000;0
Bin184;92000.0000000000-92500.0000000000;0
Bin185;92500.0000000000-93000.0000000000;0
Bin186;93000.0000000000-93500.0000000000;0
Bin187;93500.0000000000-94000.0000000000;0
Bin188;94000.0000000000-94500.0000000000;0
Bin189;94500.0000000000-95000.0000000000;0
Bin190;95000.0000000000-95500.0000000000;0
Bin191;95500.0000000000-96000.0000000000;0
Bin192;96000.0000000000-96500.0000000000;0
Bin193;96500.0000000000-97000.0000000000;0
Bin194;97000.0000000000-97500.0000000000;0
Bin195;97500.0000000000-98000.0000000000;0
Bin196;98000.0000000000-98500.0000000000;0
Bin197;98500.0000000000-99000.0000000000;0
Bin198;99000.0000000000-99500.0000000000;0
Bin199;99500.0000000000-100000.0000000000;0
Bin200;100000.0000000000-100500.0000000000;0
Bin201;100500.0000000000-101000.0000000000;0
Bin202;101000.0000000000-101500.0000000000;0
Bin203;101500.0000000000-102000.0000000000;0
Bin204;102000.0000000000-102500.0000000000;0
Bin205;102500.0000000000-103000.0000000000;0
Bin206;103000.0000000000-103500.0000000000;0
Bin207;103500.0000000000-104000.0000000000;0
Bin208;104000.0000000000-104500.0000000000;0
Bin209;104500.0000000000-105000.0000000000;0
Bin210;105000.0000000000-105500.0000000000;0
Bin211;105500.0000000000-106000.0000000000;0
Bin212;106000.0000000000-106500.0000000000;0
Bin213;106500.0000000000-107000.0000000000;0
Bin214;107000.0000000000-107500.0000000000;0
Bin215;107500.0000000000-108000.0000000000;0
Bin216;108000.0000000000-108500.0000000000;0
Bin217;108500.0000000000-109000.0000000000;0
Bin218;109000.0000000000-109500.0000000000;0
Bin219;109500.0000000000-110000.0000000000;0
Bin220;110000.0000000000-110500.0000000000;0
Bin221;110500.0000000000-111000.0000000000;0
Bin222;111000.0000000000-111500.0000000000;0
Bin223;111500.0000000000-112000.0000000000;0
Bin224;112000.0000000000-112500.0000000000;0
Bin225;112500.0000000000-113000.0000000000;0
Bin226;113000.0000000000-113500.0000000000;0
Bin227;113500.0000000000-114000.0000000000;0
Bin228;114000.0000000000-114500.0000000000;0
Bin229;114500.0000000000-115000.0000000000;0
Bin230;115000.0000000000-115500.0000000000;0
Bin231;115500.0000000000-116000.0000000000;0
Bin232;116000.0000000000-116500.0000000000;0
Bin233;116500.0000000000-117000.0000000000;0
Bin234;117000.0000000000-117500.0000000000;0
Bin235;117500.0000000000-118000.0000000000;0
Bin236;118000.0000000000-118500.0000000000;0
Bin237;118500.0000000000-119000.0000000000;0
Bin238;119000.0000000000-119500.0000000000;0
Bin239;119500.0000000000-120000.0000000000;0
Bin240;120000.0000000000-120500.0000000000;0
Bin241;120500.0000000000-121000.0000000000;0
Bin242;121000.0000000000-121500.0000000000;0
Bin243;121500.0000000000-122000.0000000000;0
Bin244;122000.0000000000-122500.0000000000;0
Bin245;122500.0000000000-123000.0000000000;0
Bin246;123000.0000000000-123500.0000000000;0
Bin247;123500.0000000000-124000.0000000000;0
Bin248;124000.0000000000-124500.0000000000;0
Bin249;124500.0000000000-125000.0000000000;0
Bin250;125000.0000000000-125500.0000000000;0
Bin251;125500.0000000000-126000.0000000000;0
Bin252;126000.0000000000-126500.0000000000;0
Bin253;126500.0000000000-127000.0000000000;0
Bin254;127000.0000000000-127500.0000000000;0
Bin255;127500.0000000000-128000.0000000000;0
Bin256;128000.0000000000-128500.0000000000;0
Bin257;128500.0000000000-129000.0000000000;0
Bin258;129000.0000000000-129500.0000000000;0
Bin259;129500.0000000000-130000.0000000000;0
Bin260;130000.0000000000-130500.0000000000;0
Bin261;130500.0000000000-131000.0000000000;0
Bin262;131000.0000000000-131500.0000000000;0
Bin263;131500.0000000000-132000.0000000000;0
Bin264;132000.0000000000-132500.0000000000;0
Bin265;132500.0000000000-133000.0000000000;0
Bin266;133000.0000000000-133500.0000000000;0
Bin267;133500.0000000000-134000.0000000000;0
Bin268;134000.0000000000-134500.0000000000;0
Bin269;134500.0000000000-135000.0000000000;0
Bin270;135000.0000000000-135500.0000000000;0
Bin271;135500.0000000000-136000.0000000000;0
Bin272;136000.0000000000-136500.0000000000;0
Bin273;136500.0000000000-137000.0000000000;0
Bin274;137000.0000000000-137500.0000000000;0
Bin275;137500.0000000000-138000.0000000000;0
Bin276;138000.0000000000-138500.0000000000;0
Bin277;138500.0000000000-139000.0000000000;0
Bin278;139000.0000000000-139500.0000000000;0
Bin279;139500.0000000000-140000.0000000000;0
Bin280;140000.0000000000-140500.0000000000;0
Bin281;140500.0000000000-141000.0000000000;0
Bin282;141000.0000000000-141500.0000000000;0
Bin283;141500.0000000000-142000.0000000000;0
Bin284;142000.0000000000-142500.0000000000;0
Bin285;142500.0000000000-143000.0000000000;0
Bin286;143000.0000000000-143500.0000000000;0
Bin287;143500.0000000000-144000.0000000000;0
Bin288;144000.0000000000-144500.0000000000;0
Bin289;144500.0000000000-145000.0000000000;0
Bin290;145000.0000000000-145500.0000000000;0
Bin291;145500.0000000000-146000.0000000000;0
Bin292;146000.0000000000-146500.0000000000;0
Bin293;146500.0000000000-147000.0000000000;0
Bin294;147000.0000000000-147500.0000000000;0
Bin295;147500.0000000000-148000.0000000000;0
Bin296;148000.0000000000-148500.0000000000;0
Bin297;148500.0000000000-149000.0000000000;0
Bin298;149000.0000000000-149500.0000000000;0
Bin299;149500.0000000000-150000.0000000000;0
Bin300;150000.0000000000-150500.0000000000;0
Bin301;150500.0000000000-151000.0000000000;0
Bin302;151000.0000000000-151500.0000000000;0
Bin303;151500.0000000000-152000.0000000000;0
Bin304;152000.0000000000-152500.0000000000;0
Bin305;152500.0000000000-153000.0000000000;0
Bin306;153000.0000000000-153500.0000000000;0
Bin307;153500.0000000000-154000.0000000000;0
Bin308;154000.0000000000-154500.0000000000;0
Bin309;154500.0000000000-155000.0000000000;0
Bin310;155000.0000000000-155500.0000000000;0
Bin311;155500.0000000000-156000.0000000000;0
Bin312;156000.0000000000-156500.0000000000;0
Bin313;156500.0000000000-157000.0000000000;0
Bin314;157000.0000000000-157500.0000000000;0
Bin315;157500.0000000000-158000.0000000000;0
Bin316;158000.0000000000-158500.0000000000;0
Bin317;158500.0000000000-159000.0000000000;0
Bin318;159000.0000000000-159500.0000000000;0
Bin319;159500.0000000000-160000.0000000000;0
Bin320;160000.0000000000-160500.0000000000;0
Bin321;160500.0000000000-161000.0000000000;0
Bin322;161000.0000000000-161500.0000000000;0
Bin323;161500.0000000000-162000.0000000000;0
Bin324;162000.0000000000-162500.0000000000;0
Bin325;162500.0000000000-163000.0000000000;0
Bin326;163000.0000000000-163500.0000000000;0
Bin327;163500.0000000000-164000.0000000000;0
Bin328;164000.0000000000-164500.0000000000;0
Bin329;164500.0000000000-165000.0000000000;0
Bin330;165000.0000000000-165500.0000000000;0
Bin331;165500.0000000000-166000.0000000000;0
Bin332;166000.0000000000-166500.0000000000;0
Bin333;166500.0000000000-167000.0000000000;0
Bin334;167000.0000000000-167500.0000000000;0
Bin335;167500.0000000000-168000.0000000000;0
Bin336;168000.0000000000-168500.0000000000;0
Bin337;168500.0000000000-169000.0000000000;0
Bin338;169000.0000000000-169500.0000000000;0
Bin339;169500.0000000000-170000.0000000000;0
Bin340;170000.0000000000-170500.0000000000;0
Bin341;170500.0000000000-171000.0000000000;0
Bin342;171000.0000000000-171500.0000000000;0
Bin343;171500.0000000000-172000.0000000000;0
Bin344;172000.0000000000-172500.0000000000;0
Bin345;172500.0000000000-173000.0000000000;0
Bin346;173000.0000000000-173500.0000000000;0
Bin347;173500.0000000000-174000.0000000000;0
Bin348;174000.0000000000-174500.0000000000;0
Bin349;174500.0000000000-175000.0000000000;0
Bin350;175000.0000000000-175500.0000000000;0
Bin351;175500.0000000000-176000.0000000000;0
Bin352;176000.0000000000-176500.0000000000;0
Bin353;176500.0000000000-177000.0000000000;0
Bin354;177000.0000000000-177500.0000000000;0
Bin355;177500.0000000000-178000.0000000000;0
Bin356;178000.0000000000-178500.0000000000;0
Bin357;178500.0000000000-179000.0000000000;0
Bin358;179000.0000000000-179500.0000000000;0
Bin359;179500.0000000000-180000.0000000000;0
Bin360;180000.0000000000-180500.0000000000;0
Bin361;180500.0000000000-181000.0000000000;0
Bin362;181000.0000000000-181500.0000000000;0
Bin363;181500.0000000000-182000.0000000000;0
Bin364;182000.0000000000-182500.0000000000;0
Bin365;182500.0000000000-183000.0000000000;0
Bin366;183000.0000000000-183500.0000000000;0
Bin367;183500.0000000000-184000.0000000000;0
Bin368;184000.0000000000-184500.0000000000;0
Bin369;184500.0000000000-185000.0000000000;0
Bin370;185000.0000000000-185500.0000000000;0
Bin371;185500.0000000000-186000.0000000000;0
Bin372;186000.0000000000-186500.0000000000;0
Bin373;186500.0000000000-187000.0000000000;0
Bin374;187000.0000000000-187500.0000000000;0
Bin375;187500.0000000000-188000.0000000000;0
Bin376;188000.0000000000-188500.0000000000;0
Bin377;188500.0000000000-189000.0000000000;0
Bin378;189000.0000000000-189500.0000000000;0
Bin379;189500.0000000000-190000.0000000000;0
Bin380;190000.0000000000-190500.0000000000;0
Bin381;190500.0000000000-191000.0000000000;0
Bin382;191000.0000000000-191500.0000000000;0
Bin383;191500.0000000000-192000.0000000000;0
Bin384;192000.0000000000-192500.0000000000;0
Bin385;192500.0000000000-193000.0000000000;0
Bin386;193000.0000000000-193500.0000000000;0
Bin387;193500.0000000000-194000.0000000000;0
Bin388;194000.0000000000-194500.0000000000;0
Bin389;194500.0000000000-195000.0000000000;0
Bin390;195000.0000000000-195500.0000000000;0
Bin391;195500.0000000000-196000.0000000000;0
Bin392;196000.0000000000-196500.0000000000;0
Bin393;196500.0000000000-197000.0000000000;0
Bin394;197000.0000000000-197500.0000000000;0
Bin395;197500.0000000000-198000.0000000000;0
Bin396;198000.0000000000-198500.0000000000;0
Bin397;198500.0000000000-199000.0000000000;0
Bin398;199000.0000000000-199500.0000000000;0
Bin399;199500.0000000000-200000.0000000000;0
Bin400;200000.0000000000-200500.0000000000;0
Bin401;200500.0000000000-201000.0000000000;0
Bin402;201000.0000000000-201500.0000000000;0
Bin403;201500.0000000000-202000.0000000000;0
Bin404;202000.0000000000-202500.0000000000;0
Bin405;202500.0000000000-203000.0000000000;0
Bin406;203000.0000000000-203500.0000000000;0
Bin407;203500.0000000000-204000.0000000000;0
Bin408;204000.0000000000-204500.0000000000;0
Bin409;204500.0000000000-205000.0000000000;0
Bin410;205000.0000000000-205500.0000000000;0
Bin411;205500.0000000000-206000.0000000000;0
Bin412;206000.0000000000-206500.0000000000;0
Bin413;206500.0000000000-207000.0000000000;0
Bin414;207000.0000000000-207500.0000000000;0
Bin415;207500.0000000000-208000.0000000000;0
Bin416;208000.0000000000-208500.0000000000;0
Bin417;208500.0000000000-209000.0000000000;0
Bin418;209000.0000000000-209500.0000000000;0
Bin419;209500.0000000000-210000.0000000000;0
Bin420;210000.0000000000-210500.0000000000;0
Bin421;210500.0000000000-211000.0000000000;0
Bin422;211000.0000000000-211500.0000000000;0
Bin423;211500.0000000000-212000.0000000000;0
Bin424;212000.0000000000-212500.0000000000;0
Bin425;212500.0000000000-213000.0000000000;0
Bin426;213000.0000000000-213500.0000000000;0
Bin427;213500.0000000000-214000.0000000000;0
Bin428;214000.0000000000-214500.0000000000;0
Bin429;214500.0000000000-215000.0000000000;0
Bin430;215000.0000000000-215500.0000000000;0
Bin431;215500.0000000000-216000.0000000000;0
Bin432;216000.0000000000-216500.0000000000;0
Bin433;216500.0000000000-217000.0000000000;0
Bin434;217000.0000000000-217500.0000000000;0
Bin435;217500.0000000000-218000.0000000000;0
Bin436;218000.0000000000-218500.0000000000;0
Bin437;218500.0000000000-219000.0000000000;0
Bin438;219000.0000000000-219500.0000000000;0
Bin439;219500.0000000000-220000.0000000000;0
Bin440;220000.0000000000-220500.0000000000;0
Bin441;220500.0000000000-221000.0000000000;0
Bin442;221000.0000000000-221500.0000000000;0
Bin443;221500.0000000000-222000.0000000000;0
Bin444;222000.0000000000-222500.0000000000;0
Bin445;222500.0000000000-223000.0000000000;0
Bin446;223000.0000000000-223500.0000000000;0
Bin447;223500.0000000000-224000.0000000000;0
Bin448;224000.0000000000-224500.0000000000;0
Bin449;224500.0000000000-225000.0000000000;0
Bin450;225000.0000000000-225500.0000000000;0
Bin451;225500.0000000000-226000.0000000000;0
Bin452;226000.0000000000-226500.0000000000;0
Bin453;226500.0000000000-227000.0000000000;0
Bin454;227000.0000000000-227500.0000000000;0
Bin455;227500.0000000000-228000.0000000000;0
Bin456;228000.0000000000-228500.0000000000;0
Bin457;228500.0000000000-229000.0000000000;0
Bin458;229000.0000000000-229500.0000000000;0
Bin459;229500.0000000000-230000.0000000000;0
Bin460;230000.0000000000-230500.0000000000;0
Bin461;230500.0000000000-231000.0000000000;0
Bin462;231000.0000000000-231500.0000000000;0
Bin463;231500.0000000000-232000.0000000000;0
Bin464;232000.0000000000-232500.0000000000;0
Bin465;232500.0000000000-233000.0000000000;0
Bin466;233000.0000000000-233500.0000000000;0
Bin467;233500.0000000000-234000.0000000000;0
Bin468;234000.0000000000-234500.0000000000;0
Bin469;234500.0000000000-235000.0000000000;0
Bin470;235000.0000000000-235500.0000000000;0
Bin471;235500.0000000000-236000.0000000000;0
Bin472;236000.0000000000-236500.0000000000;0
Bin473;236500.0000000000-237000.0000000000;0
Bin474;237000.0000000000-237500.0000000000;0
Bin475;237500.0000000000-238000.0000000000;0
Bin476;238000.0000000000-238500.0000000000;0
Bin477;238500.0000000000-239000.0000000000;0
Bin478;239000.0000000000-239500.0000000000;0
Bin479;239500.0000000000-240000.0000000000;0
Bin480;240000.0000000000-240500.0000000000;0
Bin481;240500.0000000000-241000.0000000000;0
Bin482;241000.0000000000-241500.0000000000;0
Bin483;241500.0000000000-242000.0000000000;0
Bin484;242000.0000000000-242500.0000000000;0
Bin485;242500.0000000000-243000.0000000000;0
Bin486;243000.0000000000-243500.0000000000;0
Bin487;243500.0000000000-244000.0000000000;0
Bin488;244000.0000000000-244500.0000000000;0
Bin489;244500.0000000000-245000.0000000000;0
Bin490;245000.0000000000-245500.0000000000;0
Bin491;245500.0000000000-246000.0000000000;0
Bin492;246000.0000000000-246500.0000000000;0
Bin493;246500.0000000000-247000.0000000000;0
Bin494;247000.0000000000-247500.0000000000;0
Bin495;247500.0000000000-248000.0000000000;0
Bin496;248000.0000000000-248500.0000000000;0
Bin497;248500.0000000000-249000.0000000000;0
Bin498;249000.0000000000-249500.0000000000;0
Bin499;249500.0000000000-250000.0000000000;0
Bin500;250000.0000000000-250500.0000000000;0
Bin501;250500.0000000000-251000.0000000000;0
Bin502;251000.0000000000-251500.0000000000;0
Bin503;251500.0000000000-252000.0000000000;0
Bin504;252000.0000000000-252500.0000000000;0
Bin505;252500.0000000000-253000.0000000000;0
Bin506;253000.0000000000-253500.0000000000;0
Bin507;253500.0000000000-254000.0000000000;0
Bin508;254000.0000000000-254500.0000000000;0
Bin509;254500.0000000000-255000.0000000000;0
Bin510;255000.0000000000-255500.0000000000;0
Bin511;255500.0000000000-256000.0000000000;0
Bin512;256000.0000000000-256500.0000000000;0
Bin513;256500.0000000000-257000.0000000000;0
Bin514;257000.0000000000-257500.0000000000;0
Bin515;257500.0000000000-258000.0000000000;0
Bin516;258000.0000000000-258500.0000000000;0
Bin517;258500.0000000000-259000.0000000000;0
Bin518;259000.0000000000-259500.0000000000;0
Bin519;259500.0000000000-260000.0000000000;0
Bin520;260000.0000000000-260500.0000000000;0
Bin521;260500.0000000000-261000.0000000000;0
Bin522;261000.0000000000-261500.0000000000;0
Bin523;261500.0000000000-262000.0000000000;0
Bin524;262000.0000000000-262500.0000000000;0
Bin525;262500.0000000000-263000.0000000000;0
Bin526;263000.0000000000-263500.0000000000;0
Bin527;263500.0000000000-264000.0000000000;0
Bin528;264000.0000000000-264500.0000000000;0
Bin529;264500.0000000000-265000.0000000000;0
Bin530;265000.0000000000-265500.0000000000;0
Bin531;265500.0000000000-266000.0000000000;0
Bin532;266000.0000000000-266500.0000000000;0
Bin533;266500.0000000000-267000.0000000000;0
Bin534;267000.0000000000-267500.0000000000;0
Bin535;267500.0000000000-268000.0000000000;0
Bin536;268000.0000000000-268500.0000000000;0
Bin537;268500.0000000000-269000.0000000000;0
Bin538;269000.0000000000-269500.0000000000;0
Bin539;269500.0000000000-270000.0000000000;0
Bin540;270000.0000000000-270500.0000000000;0
Bin541;270500.0000000000-271000.0000000000;0
Bin542;271000.0000000000-271500.0000000000;0
Bin543;271500.0000000000-272000.0000000000;0
Bin544;272000.0000000000-272500.0000000000;0
Bin545;272500.0000000000-273000.0000000000;0
Bin546;273000.0000000000-273500.0000000000;0
Bin547;273500.0000000000-274000.0000000000;0
Bin548;274000.0000000000-274500.0000000000;0
Bin549;274500.0000000000-275000.0000000000;0
Bin550;275000.0000000000-275500.0000000000;0
Bin551;275500.0000000000-276000.0000000000;0
Bin552;276000.0000000000-276500.0000000000;0
Bin553;276500.0000000000-277000.0000000000;0
Bin554;277000.0000000000-277500.0000000000;0
Bin555;277500.0000000000-278000.0000000000;0
Bin556;278000.0000000000-278500.0000000000;0
Bin557;278500.0000000000-279000.0000000000;0
Bin558;279000.0000000000-279500.0000000000;0
Bin559;279500.0000000000-280000.0000000000;0
Bin560;280000.0000000000-280500.0000000000;0
Bin561;280500.0000000000-281000.0000000000;0
Bin562;281000.0000000000-281500.0000000000;0
Bin563;281500.0000000000-282000.0000000000;0
Bin564;282000.0000000000-282500.0000000000;0
Bin565;282500.0000000000-283000.0000000000;0
Bin566;283000.0000000000-283500.0000000000;0
Bin567;283500.0000000000-284000.0000000000;0
Bin568;284000.0000000000-284500.0000000000;0
Bin569;284500.0000000000-285000.0000000000;0
Bin570;285000.0000000000-285500.0000000000;0
Bin571;285500.0000000000-286000.0000000000;0
Bin572;286000.0000000000-286500.0000000000;0
Bin573;286500.0000000000-287000.0000000000;0
Bin574;287000.0000000000-287500.0000000000;0
Bin575;287500.0000000000-288000.0000000000;0
Bin576;288000.0000000000-288500.0000000000;0
Bin577;288500.0000000000-289000.0000000000;0
Bin578;289000.0000000000-289500.0000000000;0
Bin579;289500.0000000000-290000.0000000000;0
Bin580;290000.0000000000-290500.0000000000;0
Bin581;290500.0000000000-291000.0000000000;0
Bin582;291000.0000000000-291500.0000000000;0
Bin583;291500.0000000000-292000.0000000000;0
Bin584;292000.0000000000-292500.0000000000;0
Bin585;292500.0000000000-293000.0000000000;0
Bin586;293000.0000000000-293500.0000000000;0
Bin587;293500.0000000000-294000.0000000000;0
Bin588;294000.0000000000-294500.0000000000;0
Bin589;294500.0000000000-295000.0000000000;0
Bin590;295000.0000000000-295500.0000000000;0
Bin591;295500.0000000000-296000.0000000000;0
Bin592;296000.0000000000-296500.0000000000;0
Bin593;296500.0000000000-297000.0000000000;0
Bin594;297000.0000000000-297500.0000000000;0
Bin595;297500.0000000000-298000.0000000000;0
Bin596;298000.0000000000-298500.0000000000;0
Bin597;298500.0000000000-299000.0000000000;0
Bin598;299000.0000000000-299500.0000000000;0
Bin599;299500.0000000000-300000.0000000000;0
Bin600;300000.0000000000-300500.0000000000;0
Bin601;300500.0000000000-301000.0000000000;0
Bin602;301000.0000000000-301500.0000000000;0
Bin603;301500.0000000000-302000.0000000000;0
Bin604;302000.0000000000-302500.0000000000;0
Bin605;302500.0000000000-303000.0000000000;0
Bin606;303000.0000000000-303500.0000000000;0
