datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests;cardinality_class
dataset0001;2;0.75;2.5;7.75;3.5;8.5;0.25;0.0181;36;4980;0.0141471400-0.0212207100
dataset0001;3;0.75;2.5;6.75;3.5;7.5;0.0;0.0183;110;4947;0.0141471400-0.0212207100
dataset0001;4;0.75;2.5;5.75;3.5;6.5;0.0;0.0182;42;5680;0.0141471400-0.0212207100
dataset0001;5;0.75;2.5;4.75;3.5;5.5;0.0;0.0177333333333333;67;4752;0.0141471400-0.0212207100
dataset0001;1;1.75;5.5;7.75;6.5;9.5;0.0;0.0374666666666666;82;7630;0.0353678500-0.0424414100
dataset0001;2;1.75;5.5;6.75;6.5;8.5;0.0;0.0425;35;8752;0.0424414100-0.0495149800
dataset0001;3;1.75;5.5;5.75;6.5;7.5;1.25;0.0428666666666666;42;7724;0.0424414100-0.0495149800
dataset0001;4;1.75;5.5;4.75;6.5;6.5;3.75;0.0429333333333333;75;7778;0.0424414100-0.0495149800
dataset0001;5;1.75;5.5;3.75;6.5;5.5;6.25;0.0428666666666666;63;5922;0.0424414100-0.0495149800
dataset0001;1;0.25;2.25;6.0;2.5;7.0;0.0;0.0059333333333333;44;3884;0.0000000000-0.0070735700
dataset0001;2;0.25;2.5;6.0;2.75;7.0;0.0;0.0059666666666666;35;4856;0.0000000000-0.0070735700
dataset0001;3;0.25;7.25;6.0;7.5;7.0;4.25;0.0058333333333333;59;3979;0.0000000000-0.0070735700
dataset0001;4;0.25;7.5;6.0;7.75;7.0;4.5;0.0054666666666666;40;4904;0.0000000000-0.0070735700
dataset0001;5;0.25;5.25;6.0;5.5;7.0;2.25;0.0062;38;4749;0.0000000000-0.0070735700
dataset0001;1;1.25;1.5;3.5;2.75;4.5;0.0;0.0312333333333333;73;3894;0.0282942800-0.0353678500
dataset0001;2;1.25;2.5;4.5;3.75;5.5;0.0;0.0294666666666666;68;4752;0.0282942800-0.0353678500
dataset0001;3;1.25;3.5;5.5;4.75;6.5;0.75;0.0289666666666666;76;6706;0.0282942800-0.0353678500
dataset0001;4;1.25;4.5;6.5;5.75;7.5;0.75;0.0295;41;4734;0.0282942800-0.0353678500
dataset0001;5;1.25;5.5;7.5;6.75;8.5;0.0;0.03;33;7757;0.0282942800-0.0353678500
dataset0001;1;2.25;1.5;6.0;3.75;7.0;0.0;0.0531333333333333;43;5680;0.0495149800-0.0565885500
dataset0001;2;2.25;6.25;6.0;8.5;7.0;3.25;0.0497333333333333;135;6832;0.0495149800-0.0565885500
dataset0001;3;2.25;4.5;3.5;5.5;5.75;3.375;0.0507666666666666;47;7657;0.0495149800-0.0565885500
dataset0001;4;2.25;4.5;7.25;5.5;9.5;0.0;0.0500666666666666;39;6649;0.0495149800-0.0565885500
dataset0001;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.0507333333333333;76;8426;0.0495149800-0.0565885500
dataset0001;1;2.5;1.5;3.5;2.5;6.0;0.0;0.061;37;5774;0.0565885500-0.0636621200
dataset0001;2;2.5;7.5;3.5;8.5;6.0;9.0;0.0518666666666666;66;4818;0.0495149800-0.0565885500
dataset0001;3;2.5;1.5;7.0;2.5;9.5;0.5;0.0540333333333333;53;3931;0.0495149800-0.0565885500
dataset0001;4;2.5;7.5;7.0;8.5;9.5;0.0;0.0471666666666666;43;4899;0.0424414100-0.0495149800
dataset0001;5;2.5;4.0;6.0;6.5;7.0;1.0;0.0606;63;10409;0.0565885500-0.0636621200
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0307010233674455;1367;2010;0.0282942800-0.0353678500
dataset0003;2;1.0;3.0;7.0;4.0;8.0;0.0;0.0328677622587419;102;5732;0.0282942800-0.0353678500
dataset0003;3;1.0;4.0;6.0;5.0;7.0;1.0;0.0313343778125937;155;2912;0.0282942800-0.0353678500
dataset0003;4;1.0;5.0;5.0;6.0;6.0;4.0;0.0300343344778159;54;2810;0.0282942800-0.0353678500
dataset0003;5;1.0;6.0;4.0;7.0;5.0;9.0;0.0307010233674455;85;3776;0.0282942800-0.0353678500
dataset0003;1;0.5;6.5;3.5;7.5;4.0;14.0;0.0151671722390746;50;1914;0.0141471400-0.0212207100
dataset0003;2;0.5;6.5;4.5;7.5;5.0;10.5;0.0186006200206673;81;2882;0.0141471400-0.0212207100
dataset0003;3;0.5;6.5;5.5;7.5;6.0;7.0;0.0180006000200006;111;1970;0.0141471400-0.0212207100
dataset0003;4;0.5;6.5;6.5;7.5;7.0;3.5;0.017267242241408;61;1930;0.0141471400-0.0212207100
dataset0003;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.0163338777959265;71;2919;0.0141471400-0.0212207100
dataset0003;1;2.0;2.0;4.0;4.0;5.0;0.0;0.057801926730891;66;5832;0.0565885500-0.0636621200
dataset0003;2;2.0;6.0;4.0;8.0;5.0;9.0;0.0589352978432614;57;4762;0.0565885500-0.0636621200
dataset0003;3;2.0;2.0;8.0;4.0;9.0;1.0;0.0582686089536317;73;4866;0.0565885500-0.0636621200
dataset0003;4;2.0;6.0;8.0;8.0;9.0;0.0;0.059668655621854;86;4761;0.0565885500-0.0636621200
dataset0003;5;2.0;4.5;5.5;5.5;7.5;0.75;0.0565685522850761;51;4787;0.0495149800-0.0565885500
dataset0003;1;1.5;3.5;3.5;4.5;5.0;1.5;0.0425347511583719;43;2755;0.0424414100-0.0495149800
dataset0003;2;1.5;3.5;4.5;4.5;6.0;1.0;0.0456348544951498;47;4714;0.0424414100-0.0495149800
dataset0003;3;1.5;3.5;5.5;4.5;7.0;0.5;0.0456348544951498;53;3715;0.0424414100-0.0495149800
dataset0003;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.0463348778292609;41;4649;0.0424414100-0.0495149800
dataset0003;5;1.5;3.5;7.5;4.5;9.0;0.0;0.0450681689389646;82;2856;0.0424414100-0.0495149800
dataset0003;1;0.75;2.5;8.75;3.5;9.5;0.125;0.0220674022467415;29;2870;0.0212207100-0.0282942800
dataset0003;2;0.75;2.5;7.75;3.5;8.5;0.25;0.0243341444714823;64;2973;0.0212207100-0.0282942800
dataset0003;3;0.75;2.5;6.75;3.5;7.5;0.0;0.0238674622487416;87;4746;0.0212207100-0.0282942800
dataset0003;4;0.75;2.5;5.75;3.5;6.5;0.0;0.0252008400280009;61;3843;0.0212207100-0.0282942800
dataset0003;5;0.75;2.5;4.75;3.5;5.5;0.0;0.0238674622487416;44;4785;0.0212207100-0.0282942800
dataset0003;1;1.75;5.5;7.75;6.5;9.5;0.0;0.0505016833894463;40;3803;0.0495149800-0.0565885500
dataset0003;2;1.75;5.5;6.75;6.5;8.5;0.0;0.0508683622787426;38;7580;0.0495149800-0.0565885500
dataset0003;3;1.75;5.5;5.75;6.5;7.5;1.25;0.0492683089436314;53;8556;0.0424414100-0.0495149800
dataset0003;4;1.75;5.5;4.75;6.5;6.5;3.75;0.05103503450115;79;7695;0.0495149800-0.0565885500
dataset0003;5;1.75;5.5;3.75;6.5;5.5;6.25;0.0514017133904463;24;5740;0.0495149800-0.0565885500
dataset0003;1;0.25;2.25;6.0;2.5;7.0;0.0;0.0113337111237041;63;4119;0.0070735700-0.0141471400
dataset0003;2;0.25;2.5;6.0;2.75;7.0;0.0;0.0102336744558151;27;3098;0.0070735700-0.0141471400
dataset0003;3;0.25;7.25;6.0;7.5;7.0;4.25;0.0100336677889262;31;1930;0.0070735700-0.0141471400
dataset0003;4;0.25;7.5;6.0;7.75;7.0;4.5;0.0110670355678522;29;2889;0.0070735700-0.0141471400
dataset0003;5;0.25;5.25;6.0;5.5;7.0;2.25;0.0106336877895929;47;1943;0.0070735700-0.0141471400
dataset0003;1;1.25;1.5;3.5;2.75;4.5;0.0;0.0326344211473715;73;3077;0.0282942800-0.0353678500
dataset0003;2;1.25;2.5;4.5;3.75;5.5;0.0;0.0376679222640754;81;4785;0.0353678500-0.0424414100
dataset0003;3;1.25;3.5;5.5;4.75;6.5;0.75;0.0381012700423347;36;3715;0.0353678500-0.0424414100
dataset0003;4;1.25;4.5;6.5;5.75;7.5;0.75;0.0365678855961865;34;5619;0.0353678500-0.0424414100
dataset0003;5;1.25;5.5;7.5;6.75;8.5;0.0;0.0379012633754458;29;3803;0.0353678500-0.0424414100
dataset0003;1;2.25;1.5;6.0;3.75;7.0;0.0;0.0628687622920764;54;5891;0.0565885500-0.0636621200
dataset0003;2;2.25;6.25;6.0;8.5;7.0;3.25;0.0652021734057801;53;3783;0.0636621200-0.0707356912
dataset0003;3;2.25;4.5;3.5;5.5;5.75;3.375;0.0623687456248541;42;3956;0.0565885500-0.0636621200
dataset0003;4;2.25;4.5;7.25;5.5;9.5;0.0;0.0632687756258542;32;4729;0.0565885500-0.0636621200
dataset0003;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.0608686956231874;22;4734;0.0565885500-0.0636621200
dataset0003;1;2.5;1.5;3.5;2.5;6.0;0.0;0.0666022200740024;33;4087;0.0636621200-0.0707356912
dataset0003;2;2.5;7.5;3.5;8.5;6.0;9.0;0.0667022234074469;37;4881;0.0636621200-0.0707356912
dataset0003;3;2.5;1.5;7.0;2.5;9.5;0.5;0.064502150071669;49;3037;0.0636621200-0.0707356912
dataset0003;4;2.5;7.5;7.0;8.5;9.5;0.0;0.0685356178539284;33;4735;0.0636621200-0.0707356912
dataset0003;5;2.5;4.0;6.0;6.5;7.0;1.0;0.0707356911897063;25;5736;0.0636621200-0.0707356912
