datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests;mbrTests_class
dataset0001;3;1.5;3.5;5.5;4.5;7.0;0.5;0.0364;67;6706;6245.4000000000-7286.3000000000
dataset0001;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.0382666666666666;38;7645;7286.3000000000-8327.2000000000
dataset0001;5;1.5;3.5;7.5;4.5;9.0;0.0;0.0349;85;5844;5204.5000000000-6245.4000000000
dataset0001;1;0.75;2.5;8.75;3.5;9.5;0.125;0.0127;89;3860;3122.7000000000-4163.6000000000
dataset0001;2;0.75;2.5;7.75;3.5;8.5;0.25;0.0181;36;4980;4163.6000000000-5204.5000000000
dataset0001;3;0.75;2.5;6.75;3.5;7.5;0.0;0.0183;110;4947;4163.6000000000-5204.5000000000
dataset0001;4;0.75;2.5;5.75;3.5;6.5;0.0;0.0182;42;5680;5204.5000000000-6245.4000000000
dataset0001;5;0.75;2.5;4.75;3.5;5.5;0.0;0.0177333333333333;67;4752;4163.6000000000-5204.5000000000
dataset0001;1;1.75;5.5;7.75;6.5;9.5;0.0;0.0374666666666666;82;7630;7286.3000000000-8327.2000000000
dataset0001;2;1.75;5.5;6.75;6.5;8.5;0.0;0.0425;35;8752;8327.2000000000-9368.1000000000
dataset0001;3;1.75;5.5;5.75;6.5;7.5;1.25;0.0428666666666666;42;7724;7286.3000000000-8327.2000000000
dataset0001;4;1.75;5.5;4.75;6.5;6.5;3.75;0.0429333333333333;75;7778;7286.3000000000-8327.2000000000
dataset0001;5;1.75;5.5;3.75;6.5;5.5;6.25;0.0428666666666666;63;5922;5204.5000000000-6245.4000000000
dataset0001;1;0.25;2.25;6.0;2.5;7.0;0.0;0.0059333333333333;44;3884;3122.7000000000-4163.6000000000
dataset0001;2;0.25;2.5;6.0;2.75;7.0;0.0;0.0059666666666666;35;4856;4163.6000000000-5204.5000000000
dataset0001;3;0.25;7.25;6.0;7.5;7.0;4.25;0.0058333333333333;59;3979;3122.7000000000-4163.6000000000
dataset0001;4;0.25;7.5;6.0;7.75;7.0;4.5;0.0054666666666666;40;4904;4163.6000000000-5204.5000000000
dataset0001;5;0.25;5.25;6.0;5.5;7.0;2.25;0.0062;38;4749;4163.6000000000-5204.5000000000
dataset0001;1;1.25;1.5;3.5;2.75;4.5;0.0;0.0312333333333333;73;3894;3122.7000000000-4163.6000000000
dataset0001;2;1.25;2.5;4.5;3.75;5.5;0.0;0.0294666666666666;68;4752;4163.6000000000-5204.5000000000
dataset0001;3;1.25;3.5;5.5;4.75;6.5;0.75;0.0289666666666666;76;6706;6245.4000000000-7286.3000000000
dataset0001;4;1.25;4.5;6.5;5.75;7.5;0.75;0.0295;41;4734;4163.6000000000-5204.5000000000
dataset0001;5;1.25;5.5;7.5;6.75;8.5;0.0;0.03;33;7757;7286.3000000000-8327.2000000000
dataset0001;1;2.25;1.5;6.0;3.75;7.0;0.0;0.0531333333333333;43;5680;5204.5000000000-6245.4000000000
dataset0001;2;2.25;6.25;6.0;8.5;7.0;3.25;0.0497333333333333;135;6832;6245.4000000000-7286.3000000000
dataset0001;3;2.25;4.5;3.5;5.5;5.75;3.375;0.0507666666666666;47;7657;7286.3000000000-8327.2000000000
dataset0001;4;2.25;4.5;7.25;5.5;9.5;0.0;0.0500666666666666;39;6649;6245.4000000000-7286.3000000000
dataset0001;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.0507333333333333;76;8426;8327.2000000000-9368.1000000000
dataset0001;1;2.5;1.5;3.5;2.5;6.0;0.0;0.061;37;5774;5204.5000000000-6245.4000000000
dataset0001;2;2.5;7.5;3.5;8.5;6.0;9.0;0.0518666666666666;66;4818;4163.6000000000-5204.5000000000
dataset0001;3;2.5;1.5;7.0;2.5;9.5;0.5;0.0540333333333333;53;3931;3122.7000000000-4163.6000000000
dataset0001;4;2.5;7.5;7.0;8.5;9.5;0.0;0.0471666666666666;43;4899;4163.6000000000-5204.5000000000
dataset0001;5;2.5;4.0;6.0;6.5;7.0;1.0;0.0606;63;10409;9368.1000000000-10409.0000000000
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0307010233674455;1367;2010;1040.9000000000-2081.8000000000
dataset0003;2;1.0;3.0;7.0;4.0;8.0;0.0;0.0328677622587419;102;5732;5204.5000000000-6245.4000000000
dataset0003;3;1.0;4.0;6.0;5.0;7.0;1.0;0.0313343778125937;155;2912;2081.8000000000-3122.7000000000
dataset0003;4;1.0;5.0;5.0;6.0;6.0;4.0;0.0300343344778159;54;2810;2081.8000000000-3122.7000000000
dataset0003;5;1.0;6.0;4.0;7.0;5.0;9.0;0.0307010233674455;85;3776;3122.7000000000-4163.6000000000
dataset0003;1;0.5;6.5;3.5;7.5;4.0;14.0;0.0151671722390746;50;1914;1040.9000000000-2081.8000000000
dataset0003;2;0.5;6.5;4.5;7.5;5.0;10.5;0.0186006200206673;81;2882;2081.8000000000-3122.7000000000
dataset0003;3;0.5;6.5;5.5;7.5;6.0;7.0;0.0180006000200006;111;1970;1040.9000000000-2081.8000000000
dataset0003;4;0.5;6.5;6.5;7.5;7.0;3.5;0.017267242241408;61;1930;1040.9000000000-2081.8000000000
dataset0003;5;0.5;6.5;7.5;7.5;8.0;-0.0;0.0163338777959265;71;2919;2081.8000000000-3122.7000000000
dataset0003;1;2.0;2.0;4.0;4.0;5.0;0.0;0.057801926730891;66;5832;5204.5000000000-6245.4000000000
dataset0003;2;2.0;6.0;4.0;8.0;5.0;9.0;0.0589352978432614;57;4762;4163.6000000000-5204.5000000000
dataset0003;3;2.0;2.0;8.0;4.0;9.0;1.0;0.0582686089536317;73;4866;4163.6000000000-5204.5000000000
dataset0003;4;2.0;6.0;8.0;8.0;9.0;0.0;0.059668655621854;86;4761;4163.6000000000-5204.5000000000
dataset0003;5;2.0;4.5;5.5;5.5;7.5;0.75;0.0565685522850761;51;4787;4163.6000000000-5204.5000000000
dataset0003;1;1.5;3.5;3.5;4.5;5.0;1.5;0.0425347511583719;43;2755;2081.8000000000-3122.7000000000
dataset0003;2;1.5;3.5;4.5;4.5;6.0;1.0;0.0456348544951498;47;4714;4163.6000000000-5204.5000000000
dataset0003;3;1.5;3.5;5.5;4.5;7.0;0.5;0.0456348544951498;53;3715;3122.7000000000-4163.6000000000
dataset0003;4;1.5;3.5;6.5;4.5;8.0;-0.0;0.0463348778292609;41;4649;4163.6000000000-5204.5000000000
dataset0003;5;1.5;3.5;7.5;4.5;9.0;0.0;0.0450681689389646;82;2856;2081.8000000000-3122.7000000000
dataset0003;1;0.75;2.5;8.75;3.5;9.5;0.125;0.0220674022467415;29;2870;2081.8000000000-3122.7000000000
dataset0003;2;0.75;2.5;7.75;3.5;8.5;0.25;0.0243341444714823;64;2973;2081.8000000000-3122.7000000000
dataset0003;3;0.75;2.5;6.75;3.5;7.5;0.0;0.0238674622487416;87;4746;4163.6000000000-5204.5000000000
dataset0003;4;0.75;2.5;5.75;3.5;6.5;0.0;0.0252008400280009;61;3843;3122.7000000000-4163.6000000000
dataset0003;5;0.75;2.5;4.75;3.5;5.5;0.0;0.0238674622487416;44;4785;4163.6000000000-5204.5000000000
dataset0003;1;1.75;5.5;7.75;6.5;9.5;0.0;0.0505016833894463;40;3803;3122.7000000000-4163.6000000000
dataset0003;2;1.75;5.5;6.75;6.5;8.5;0.0;0.0508683622787426;38;7580;7286.3000000000-8327.2000000000
dataset0003;3;1.75;5.5;5.75;6.5;7.5;1.25;0.0492683089436314;53;8556;8327.2000000000-9368.1000000000
dataset0003;4;1.75;5.5;4.75;6.5;6.5;3.75;0.05103503450115;79;7695;7286.3000000000-8327.2000000000
dataset0003;5;1.75;5.5;3.75;6.5;5.5;6.25;0.0514017133904463;24;5740;5204.5000000000-6245.4000000000
dataset0003;1;0.25;2.25;6.0;2.5;7.0;0.0;0.0113337111237041;63;4119;3122.7000000000-4163.6000000000
dataset0003;2;0.25;2.5;6.0;2.75;7.0;0.0;0.0102336744558151;27;3098;2081.8000000000-3122.7000000000
dataset0003;3;0.25;7.25;6.0;7.5;7.0;4.25;0.0100336677889262;31;1930;1040.9000000000-2081.8000000000
dataset0003;4;0.25;7.5;6.0;7.75;7.0;4.5;0.0110670355678522;29;2889;2081.8000000000-3122.7000000000
dataset0003;5;0.25;5.25;6.0;5.5;7.0;2.25;0.0106336877895929;47;1943;1040.9000000000-2081.8000000000
dataset0003;1;1.25;1.5;3.5;2.75;4.5;0.0;0.0326344211473715;73;3077;2081.8000000000-3122.7000000000
dataset0003;2;1.25;2.5;4.5;3.75;5.5;0.0;0.0376679222640754;81;4785;4163.6000000000-5204.5000000000
dataset0003;3;1.25;3.5;5.5;4.75;6.5;0.75;0.0381012700423347;36;3715;3122.7000000000-4163.6000000000
dataset0003;4;1.25;4.5;6.5;5.75;7.5;0.75;0.0365678855961865;34;5619;5204.5000000000-6245.4000000000
dataset0003;5;1.25;5.5;7.5;6.75;8.5;0.0;0.0379012633754458;29;3803;3122.7000000000-4163.6000000000
dataset0003;1;2.25;1.5;6.0;3.75;7.0;0.0;0.0628687622920764;54;5891;5204.5000000000-6245.4000000000
dataset0003;2;2.25;6.25;6.0;8.5;7.0;3.25;0.0652021734057801;53;3783;3122.7000000000-4163.6000000000
dataset0003;3;2.25;4.5;3.5;5.5;5.75;3.375;0.0623687456248541;42;3956;3122.7000000000-4163.6000000000
dataset0003;4;2.25;4.5;7.25;5.5;9.5;0.0;0.0632687756258542;32;4729;4163.6000000000-5204.5000000000
dataset0003;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.0608686956231874;22;4734;4163.6000000000-5204.5000000000
dataset0003;1;2.5;1.5;3.5;2.5;6.0;0.0;0.0666022200740024;33;4087;3122.7000000000-4163.6000000000
dataset0003;2;2.5;7.5;3.5;8.5;6.0;9.0;0.0667022234074469;37;4881;4163.6000000000-5204.5000000000
dataset0003;3;2.5;1.5;7.0;2.5;9.5;0.5;0.064502150071669;49;3037;2081.8000000000-3122.7000000000
dataset0003;4;2.5;7.5;7.0;8.5;9.5;0.0;0.0685356178539284;33;4735;4163.6000000000-5204.5000000000
dataset0003;5;2.5;4.0;6.0;6.5;7.0;1.0;0.0707356911897063;25;5736;5204.5000000000-6245.4000000000
