datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;executionTime;mbrTests
dataset0002;1;1.25;1.5;3.5;2.75;4.5;0.0;0.038878;24;53005
dataset0002;2;1.25;2.5;4.5;3.75;5.5;0.0;0.04749;35;81095
dataset0002;3;1.25;3.5;5.5;4.75;6.5;0.75;0.047314;23;115697
dataset0002;4;1.25;4.5;6.5;5.75;7.5;0.75;0.047876;56;153790
dataset0002;5;1.25;5.5;7.5;6.75;8.5;0.0;0.048142;43;75826
dataset0002;1;2.25;1.5;6.0;3.75;7.0;0.0;0.074204;35;153893
dataset0002;2;2.25;6.25;6.0;8.5;7.0;3.25;0.074158;26;132702
dataset0002;3;2.25;4.5;3.5;5.5;5.75;3.375;0.074098;41;135751
dataset0002;4;2.25;4.5;7.25;5.5;9.5;0.0;0.074526;25;133937
dataset0002;5;2.15;3.85;6.0;6.0;7.0;0.8500000000000001;0.075728;27;155114
dataset0002;1;2.5;1.5;3.5;2.5;6.0;0.0;0.07318;67;113291
dataset0002;2;2.5;7.5;3.5;8.5;6.0;9.0;0.07222;24;74642
dataset0002;3;2.5;1.5;7.0;2.5;9.5;0.5;0.072292;37;133349
dataset0002;4;2.5;7.5;7.0;8.5;9.5;0.0;0.072758;17;75253
dataset0002;5;2.5;4.0;6.0;6.5;7.0;1.0;0.086652;23;189470
