datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;mbrTests;executionTime
dataset0001;5;1.75;5.5;3.75;6.5;5.5;1.75;0.042034;62735;4769
dataset0001;1;0.25;2.25;6.0;2.5;7.0;0.25;0.005832;62682;4843
dataset0001;2;0.25;2.5;6.0;2.75;7.0;0.25;0.006024;62682;4794
dataset0001;3;0.25;7.25;6.0;7.5;7.0;0.25;0.005902;62300;4598
dataset0001;4;0.25;7.5;6.0;7.75;7.0;0.25;0.006008;62300;5183
dataset0001;5;0.25;5.25;6.0;5.5;7.0;0.25;0.005818;62566;4781
dataset0001;1;1.25;1.5;3.5;2.75;4.5;1.25;0.030004;31329;2539
dataset0001;2;1.25;2.5;4.5;3.75;5.5;1.25;0.029994;125063;9386
dataset0001;3;1.25;3.5;5.5;4.75;6.5;1.25;0.029476;31131;3037
dataset0001;4;1.25;4.5;6.5;5.75;7.5;1.25;0.030018;124690;9946
dataset0001;5;1.25;5.5;7.5;6.75;8.5;1.25;0.029814;125240;9491
dataset0001;1;2.25;1.5;6.0;3.75;7.0;2.25;0.053502;124806;9982
dataset0001;2;2.25;6.25;6.0;8.5;7.0;2.25;0.05351;124866;9463
dataset0001;3;2.25;4.5;3.5;5.5;5.75;2.25;0.053662;125049;9866
dataset0001;4;2.25;4.5;7.25;5.5;9.5;2.25;0.054262;125134;9823
dataset0001;5;2.15;3.85;6.0;6.0;7.0;2.15;0.05067;124690;10332
dataset0001;1;2.5;1.5;3.5;2.5;6.0;2.5;0.060062;62749;4876
dataset0001;2;2.5;7.5;3.5;8.5;6.0;2.5;0.059564;62244;5639
dataset0001;3;2.5;1.5;7.0;2.5;9.5;2.5;0.059226;62360;5469
dataset0001;4;2.5;7.5;7.0;8.5;9.5;2.5;0.059772;62448;4909
dataset0001;5;2.5;4.0;6.0;6.5;7.0;2.5;0.059216;124690;9496
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0251;63194;6992
dataset0002;2;1.0;3.0;7.0;4.0;8.0;1.0;0.02487;64591;7176
dataset0002;3;1.0;4.0;6.0;5.0;7.0;1.0;0.02471;65438;7266
dataset0002;4;1.0;5.0;5.0;6.0;6.0;1.0;0.024768;65386;7570
dataset0002;5;1.0;6.0;4.0;7.0;5.0;1.0;0.024876;127892;14350
dataset0002;1;0.5;6.5;3.5;7.5;4.0;0.5;0.012332;63452;6830
dataset0002;2;0.5;6.5;4.5;7.5;5.0;0.5;0.012696;127892;13983
dataset0002;3;0.5;6.5;5.5;7.5;6.0;0.5;0.012656;64440;6998
dataset0002;4;0.5;6.5;6.5;7.5;7.0;0.5;0.012622;64553;7281
dataset0002;5;0.5;6.5;7.5;7.5;8.0;0.5;0.012712;64553;7276
dataset0002;1;2.0;2.0;4.0;4.0;5.0;2.0;0.049416;127991;14246
dataset0002;2;2.0;6.0;4.0;8.0;5.0;2.0;0.04936;127892;13922
dataset0002;3;2.0;2.0;8.0;4.0;9.0;2.0;0.049236;127791;13911
dataset0002;4;2.0;6.0;8.0;8.0;9.0;2.0;0.049314;127909;14371
dataset0002;5;2.0;4.5;5.5;5.5;7.5;2.0;0.049674;130668;14314
dataset0002;1;1.5;3.5;3.5;4.5;5.0;1.5;0.03719;64872;6973
dataset0002;2;1.5;3.5;4.5;4.5;6.0;1.5;0.0371;64872;7271
dataset0002;3;1.5;3.5;5.5;4.5;7.0;1.5;0.037152;65438;7276
dataset0002;4;1.5;3.5;6.5;4.5;8.0;1.5;0.036802;32740;3668
dataset0002;5;1.5;3.5;7.5;4.5;9.0;1.5;0.036852;64597;7072
dataset0002;1;0.75;2.5;8.75;3.5;9.5;0.75;0.018724;63200;6983
dataset0002;2;0.75;2.5;7.75;3.5;8.5;0.75;0.018818;127791;14164
dataset0002;3;0.75;2.5;6.75;3.5;7.5;0.75;0.018672;64591;6906
dataset0002;4;0.75;2.5;5.75;3.5;6.5;0.75;0.01868;129146;14308
dataset0002;5;0.75;2.5;4.75;3.5;5.5;0.75;0.018898;127991;13998
dataset0002;1;1.75;5.5;7.75;6.5;9.5;1.75;0.043276;64671;7534
dataset0002;2;1.75;5.5;6.75;6.5;8.5;1.75;0.042586;64671;7247
dataset0002;3;1.75;5.5;5.75;6.5;7.5;1.75;0.04278;65230;7227
dataset0002;4;1.75;5.5;4.75;6.5;6.5;1.75;0.04359;97352;10681
dataset0002;5;1.75;5.5;3.75;6.5;5.5;1.75;0.04354;64810;7230
dataset0002;1;0.25;2.25;6.0;2.5;7.0;0.25;0.00681;63708;6967
dataset0002;2;0.25;2.5;6.0;2.75;7.0;0.25;0.006628;63708;6967
dataset0002;3;0.25;7.25;6.0;7.5;7.0;0.25;0.006766;63763;6829
dataset0002;4;0.25;7.5;6.0;7.75;7.0;0.25;0.006802;63763;7114
dataset0002;5;0.25;5.25;6.0;5.5;7.0;0.25;0.006764;65230;7259
dataset0002;1;1.25;1.5;3.5;2.75;4.5;1.25;0.030316;31262;3645
dataset0002;2;1.25;2.5;4.5;3.75;5.5;1.25;0.03106;127991;14255
dataset0002;3;1.25;3.5;5.5;4.75;6.5;1.25;0.03105;65438;7245
dataset0002;4;1.25;4.5;6.5;5.75;7.5;1.25;0.03101;65282;7277
dataset0002;5;1.25;5.5;7.5;6.75;8.5;1.25;0.030522;64671;7241
dataset0002;1;2.25;1.5;6.0;3.75;7.0;2.25;0.054876;129146;14434
dataset0002;2;2.25;6.25;6.0;8.5;7.0;2.25;0.055218;128993;14237
dataset0002;3;2.25;4.5;3.5;5.5;5.75;2.25;0.055474;129682;14017
dataset0002;4;2.25;4.5;7.25;5.5;9.5;2.25;0.055312;129268;14993
dataset0002;5;2.15;3.85;6.0;6.0;7.0;2.15;0.052984;130668;14371
dataset0002;1;2.5;1.5;3.5;2.5;6.0;2.5;0.06101;63119;7312
dataset0002;2;2.5;7.5;3.5;8.5;6.0;2.5;0.060584;63082;7123
dataset0002;3;2.5;1.5;7.0;2.5;9.5;2.5;0.060596;63194;7060
dataset0002;4;2.5;7.5;7.0;8.5;9.5;2.5;0.060502;63238;7072
dataset0002;5;2.5;4.0;6.0;6.5;7.0;2.5;0.061362;130668;14587
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0237;62502;7328
dataset0003;2;1.0;3.0;7.0;4.0;8.0;1.0;0.023634;62894;7405
dataset0003;3;1.0;4.0;6.0;5.0;7.0;1.0;0.023922;62554;7268
dataset0003;4;1.0;5.0;5.0;6.0;6.0;1.0;0.023952;62511;7169
dataset0003;5;1.0;6.0;4.0;7.0;5.0;1.0;0.023596;124615;13997
dataset0003;1;0.5;6.5;3.5;7.5;4.0;0.5;0.011866;61985;6801
dataset0003;2;0.5;6.5;4.5;7.5;5.0;0.5;0.011548;124615;13865
dataset0003;3;0.5;6.5;5.5;7.5;6.0;0.5;0.012204;62630;6955
dataset0003;4;0.5;6.5;6.5;7.5;7.0;0.5;0.012134;125545;14320
dataset0003;5;0.5;6.5;7.5;7.5;8.0;0.5;0.012252;62915;7023
dataset0003;1;2.0;2.0;4.0;4.0;5.0;2.0;0.0484;124819;14416
dataset0003;2;2.0;6.0;4.0;8.0;5.0;2.0;0.046926;124615;14082
dataset0003;3;2.0;2.0;8.0;4.0;9.0;2.0;0.0477;125183;14780
dataset0003;4;2.0;6.0;8.0;8.0;9.0;2.0;0.047616;125792;14383
dataset0003;5;2.0;4.5;5.5;5.5;7.5;2.0;0.047872;125406;14345
dataset0003;1;1.5;3.5;3.5;4.5;5.0;1.5;0.035924;62609;7434
dataset0003;2;1.5;3.5;4.5;4.5;6.0;1.5;0.035826;62609;8371
dataset0003;3;1.5;3.5;5.5;4.5;7.0;1.5;0.035802;62554;7916
dataset0003;4;1.5;3.5;6.5;4.5;8.0;1.5;0.036136;62554;7359
dataset0003;5;1.5;3.5;7.5;4.5;9.0;1.5;0.03568;62681;7306
dataset0003;1;0.75;2.5;8.75;3.5;9.5;0.75;0.017722;62289;7122
dataset0003;2;0.75;2.5;7.75;3.5;8.5;0.75;0.01757;125183;14565
dataset0003;3;0.75;2.5;6.75;3.5;7.5;0.75;0.018098;62894;7836
dataset0003;4;0.75;2.5;5.75;3.5;6.5;0.75;0.017612;62164;7846
dataset0003;5;0.75;2.5;4.75;3.5;5.5;0.75;0.018174;124819;15193
dataset0003;1;1.75;5.5;7.75;6.5;9.5;1.75;0.04226;63128;8381
dataset0003;2;1.75;5.5;6.75;6.5;8.5;1.75;0.041744;63128;8289
dataset0003;3;1.75;5.5;5.75;6.5;7.5;1.75;0.04176;62852;8056
dataset0003;4;1.75;5.5;4.75;6.5;6.5;1.75;0.041422;62507;7445
dataset0003;5;1.75;5.5;3.75;6.5;5.5;1.75;0.04141;62507;7201
dataset0003;1;0.25;2.25;6.0;2.5;7.0;0.25;0.006062;62504;7395
dataset0003;2;0.25;2.5;6.0;2.75;7.0;0.25;0.006016;62504;7627
dataset0003;3;0.25;7.25;6.0;7.5;7.0;0.25;0.006062;62693;7292
dataset0003;4;0.25;7.5;6.0;7.75;7.0;0.25;0.006032;62693;7093
dataset0003;5;0.25;5.25;6.0;5.5;7.0;0.25;0.005854;62852;7080
dataset0003;1;1.25;1.5;3.5;2.75;4.5;1.25;0.029686;31174;4250
dataset0003;2;1.25;2.5;4.5;3.75;5.5;1.25;0.030266;124819;14339
dataset0003;3;1.25;3.5;5.5;4.75;6.5;1.25;0.029562;31128;3696
dataset0003;4;1.25;4.5;6.5;5.75;7.5;1.25;0.029792;125406;15512
dataset0003;5;1.25;5.5;7.5;6.75;8.5;1.25;0.029926;63128;7455
dataset0003;1;2.25;1.5;6.0;3.75;7.0;2.25;0.05331;125058;14580
dataset0003;2;2.25;6.25;6.0;8.5;7.0;2.25;0.053732;125545;14391
dataset0003;3;2.25;4.5;3.5;5.5;5.75;2.25;0.053724;125116;14439
dataset0003;4;2.25;4.5;7.25;5.5;9.5;2.25;0.0541;125809;15273
dataset0003;5;2.15;3.85;6.0;6.0;7.0;2.15;0.051492;125406;14726
dataset0003;1;2.5;1.5;3.5;2.5;6.0;2.5;0.059142;62210;7158
dataset0003;2;2.5;7.5;3.5;8.5;6.0;2.5;0.059034;62108;7342
dataset0003;3;2.5;1.5;7.0;2.5;9.5;2.5;0.05966;62502;7617
dataset0003;4;2.5;7.5;7.0;8.5;9.5;2.5;0.059778;62664;7155
dataset0003;5;2.5;4.0;6.0;6.5;7.0;2.5;0.059682;125406;15669
