datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;mbrTests;averageExecutionTime;numberParallelThreads;totalExecutionTime
dataset1201;2;0.0009999999815387;4.421059694;8.255420837;4.434411314;8.330318114;0.0009999999815387;5.142876832728445e-05;28660;2000;2;4000
dataset1201;3;0.0040000000395412;4.276871993;7.578132504;4.308987953;7.702681172;0.0040000000395412;0.0001347433730174;101410;7000;2;14000
dataset1201;4;0.0069999999876999;1.244511863;8.44163539;1.309055378;8.550089353;0.0069999999876999;0.0;116;0;1;0
dataset1201;5;0.0100000001248668;3.610992774;8.492189473;3.687537905;8.622831357;0.0087455782118582;5.142876832728446e-07;13900;1000;2;2000
dataset1201;6;0.0300000001208937;1.189469896;7.677556161;1.303002258;7.941798;0.0300000001208937;4.1143014661827564e-06;6835;0;2;0
dataset1201;7;0.0500000000452407;1.996243006;8.123414088;2.202151596;8.366240286;0.0500000000452407;0.0005641735885503;6407;0;2;0
dataset1201;8;0.06999999992919;3.120898615;8.415251046;3.307642727;8.790095528;0.0357040375919463;2.828582258000645e-05;6723;0;1;0
dataset1201;9;0.0999999997509805;2.379751032;7.626024644;2.570677098;8.149787595;0.0999999997509805;0.0160056612788174;198324;13600;5;68000
dataset1201;10;0.1300000002497541;3.390536969;8.426126181;3.579180829;9.115255423;0.0340157273503636;2.4171521113823693e-05;6723;0;1;0
dataset1401;1;0.0004999999930144;7.199238789;9.095618757;7.207581233;9.155553231;0.0;0.0;0;0;0;0
dataset1401;2;0.001000000014187;7.909467669;8.64355235;7.932698726;8.686598175;1.5608349478417478;0.0;0;0;0;0
dataset1401;3;0.004000000090328;6.225747743;7.578652639;6.253911014;7.720681599;0.0;0.0;0;0;0;0
dataset1401;4;0.0070000000289681;6.565700161;6.085927478;6.60738259;6.253863949;0.0;0.0;0;0;0;0
dataset1401;5;0.0100000000178729;8.185597774;6.627730831;8.269580432;6.746803033;0.4810508079607056;0.0;0;0;0;0
dataset1401;6;0.0299999999642846;6.988354722;5.818228615;7.074235649;6.167549483;0.0228997192646293;0.0012751967378589;65535;7000;1;7000
dataset1401;7;0.0500000002141314;6.31362464;7.725404747;6.513704335;7.975305169;0.0;0.0;0;0;0;0
dataset1401;8;0.0699999999552929;6.920005711;8.621851383;7.060586743;9.119784845;0.0;0.0;0;0;0;0
dataset1401;9;0.0999999996063125;6.346274275;7.896232628;6.439727861;8.96628252;0.0;0.0;0;0;0;0
dataset1401;10;0.1300000006170471;7.291685451;6.831621929;7.36544663;8.594066651;0.0;0.0;0;0;0;0
dataset1601;1;0.0005000000068641;6.578409055;1.026652424;6.598377104;1.051692427;0.0;0.0;0;0;0;0
dataset1601;2;0.0010000000150665;5.958995547;2.229978735;5.980606442;2.276251692;0.0;0.0;0;0;0;0
dataset1601;3;0.003999999887077;7.369633585;2.344505126;7.391895341;2.524185466;0.0;0.0;0;0;0;0
dataset1601;4;0.0070000001848719;8.207921967;3.141035971;8.234512665;3.404285931;0.0;0.0;0;0;0;0
dataset1601;5;0.0099999999635628;7.760133443;3.711742553;7.793813248;4.008656385;0.0;0.0;0;0;0;0
dataset1601;6;0.0299999999512929;5.583216322;2.599430444;5.67957137;2.910778947;0.0;0.0;0;0;0;0
dataset1601;7;0.0500000000017199;8.101487036;1.674090099;8.284309557;1.947579381;0.0;0.0;0;0;0;0
dataset1601;8;0.069999999987122;5.58214031;0.877772717;5.728078443;1.357428024;0.0;0.0;0;0;0;0
dataset1601;9;0.1000000003624994;7.917736455;4.331193985;8.192443348;4.695218343;0.0;0.0;0;0;0;0
dataset1601;10;0.1300000001070138;8.586503294;2.268111351;8.803220517;2.867971382;0.0;0.0;0;0;0;0
dataset1801;1;0.0004999999479354829;5.420353959;6.815454209;5.425370663;6.915121231;0.0;0.0;0;0;0;0
dataset1801;2;0.000999999973073523;8.140823126;6.642466784;8.165233279;6.683433343;0.0;0.0;0;0;0;0
dataset1801;3;0.003999999879532103;4.438381199;5.260381519;4.463416213;5.420157738;0.003999999879532103;0.0008617221152845018;62378;6000;1;6000
dataset1801;4;0.0070000000787331425;2.746184734;7.005696156;2.794657017;7.150108584;0.0;0.0;0;0;0;0
dataset1801;5;0.010000000017620275;4.887846783;5.228487027;4.973198437;5.345649373;0.010000000017620275;0.0020917820381951657;62779;6000;1;6000
dataset1801;6;0.029999999943554602;8.600453895;4.117269664;8.759219643;4.306227297;0.029999999943554602;0.0023512927662954165;60330;4000;2;8000
dataset1801;7;0.04999999991557065;6.43388914;4.565829487;6.552387914;4.98777478;0.04999999991557065;0.005317877097602717;113768;8500;2;17000
dataset1801;8;0.06999999960340895;3.894599353;6.987883306;4.029658779;7.506173674;0.0;0.0;0;0;0;0
dataset1801;9;0.09999999994381234;3.508945452;5.686867218;3.776686955;6.060361797;0.09999999994381234;0.0;87;0;1;0
dataset1801;10;0.13000000065658412;5.968578563;4.289141058;6.093858202;5.32681966;0.13000000065658412;0.01173762837540529;190044;13500;4;54000
