datasetName;numQuery;queryArea;minX;minY;maxX;maxY;areaint;cardinality;mbrTests;averageExecutionTime;numberParallelThreads;totalExecutionTime
dataset0001;1;2.5;1.5;3.5;2.5;6.0;2.5;0.060062;62749;5000;2;10000
dataset0001;2;2.5;7.5;3.5;8.5;6.0;2.5;0.059564;62244;5000;2;10000
dataset0001;3;2.5;1.5;7.0;2.5;9.5;2.5;0.059226;62360;5000;2;10000
dataset0001;4;2.5;7.5;7.0;8.5;9.5;2.5;0.059772;62448;5000;2;10000
dataset0001;5;2.5;4.0;6.0;6.5;7.0;2.5;0.059216;124690;9500;4;38000
dataset0002;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0251;63194;6500;2;13000
dataset0002;2;1.0;3.0;7.0;4.0;8.0;1.0;0.02487;64591;7000;2;14000
dataset0002;3;1.0;4.0;6.0;5.0;7.0;1.0;0.02471;65438;6500;2;13000
dataset0002;4;1.0;5.0;5.0;6.0;6.0;1.0;0.024768;65386;7000;2;14000
dataset0002;5;1.0;6.0;4.0;7.0;5.0;1.0;0.024876;127892;13250;4;53000
dataset0002;1;0.5;6.5;3.5;7.5;4.0;0.5;0.012332;63452;6000;2;12000
dataset0002;2;0.5;6.5;4.5;7.5;5.0;0.5;0.012696;127892;13000;4;52000
dataset0002;3;0.5;6.5;5.5;7.5;6.0;0.5;0.012656;64440;7000;2;14000
dataset0002;4;0.5;6.5;6.5;7.5;7.0;0.5;0.012622;64553;7000;2;14000
dataset0002;5;0.5;6.5;7.5;7.5;8.0;0.5;0.012712;64553;7000;2;14000
dataset0002;1;2.0;2.0;4.0;4.0;5.0;2.0;0.049416;127991;13000;4;52000
dataset0002;2;2.0;6.0;4.0;8.0;5.0;2.0;0.04936;127892;13000;4;52000
dataset0002;3;2.0;2.0;8.0;4.0;9.0;2.0;0.049236;127791;13000;4;52000
dataset0002;4;2.0;6.0;8.0;8.0;9.0;2.0;0.049314;127909;14000;4;56000
dataset0002;5;2.0;4.5;5.5;5.5;7.5;2.0;0.049674;130668;13500;4;54000
dataset0002;1;1.5;3.5;3.5;4.5;5.0;1.5;0.03719;64872;6500;2;13000
dataset0002;2;1.5;3.5;4.5;4.5;6.0;1.5;0.0371;64872;6000;2;12000
dataset0002;3;1.5;3.5;5.5;4.5;7.0;1.5;0.037152;65438;6500;2;13000
dataset0002;4;1.5;3.5;6.5;4.5;8.0;1.5;0.036802;32740;4000;1;4000
dataset0002;5;1.5;3.5;7.5;4.5;9.0;1.5;0.036852;64597;7000;2;14000
dataset0002;1;0.75;2.5;8.75;3.5;9.5;0.75;0.018724;63200;6500;2;13000
dataset0002;2;0.75;2.5;7.75;3.5;8.5;0.75;0.018818;127791;13000;4;52000
dataset0002;3;0.75;2.5;6.75;3.5;7.5;0.75;0.018672;64591;7000;2;14000
dataset0002;4;0.75;2.5;5.75;3.5;6.5;0.75;0.01868;129146;13250;4;53000
dataset0002;5;0.75;2.5;4.75;3.5;5.5;0.75;0.018898;127991;13250;4;53000
dataset0002;1;1.75;5.5;7.75;6.5;9.5;1.75;0.043276;64671;6500;2;13000
dataset0002;2;1.75;5.5;6.75;6.5;8.5;1.75;0.042586;64671;6500;2;13000
dataset0002;3;1.75;5.5;5.75;6.5;7.5;1.75;0.04278;65230;7000;2;14000
dataset0002;4;1.75;5.5;4.75;6.5;6.5;1.75;0.04359;97352;9333;3;28000
dataset0002;5;1.75;5.5;3.75;6.5;5.5;1.75;0.04354;64810;7000;2;14000
dataset0002;1;0.25;2.25;6.0;2.5;7.0;0.25;0.00681;63708;6000;2;12000
dataset0002;2;0.25;2.5;6.0;2.75;7.0;0.25;0.006628;63708;6000;2;12000
dataset0002;3;0.25;7.25;6.0;7.5;7.0;0.25;0.006766;63763;6000;2;12000
dataset0002;4;0.25;7.5;6.0;7.75;7.0;0.25;0.006802;63763;6000;2;12000
dataset0002;5;0.25;5.25;6.0;5.5;7.0;0.25;0.006764;65230;6500;2;13000
dataset0002;1;1.25;1.5;3.5;2.75;4.5;1.25;0.030316;31262;3000;1;3000
dataset0002;2;1.25;2.5;4.5;3.75;5.5;1.25;0.03106;127991;13250;4;53000
dataset0002;3;1.25;3.5;5.5;4.75;6.5;1.25;0.03105;65438;6500;2;13000
dataset0002;4;1.25;4.5;6.5;5.75;7.5;1.25;0.03101;65282;7000;2;14000
dataset0002;5;1.25;5.5;7.5;6.75;8.5;1.25;0.030522;64671;6000;2;12000
dataset0002;1;2.25;1.5;6.0;3.75;7.0;2.25;0.054876;129146;12750;4;51000
dataset0002;2;2.25;6.25;6.0;8.5;7.0;2.25;0.055218;128993;13250;4;53000
dataset0002;3;2.25;4.5;3.5;5.5;5.75;2.25;0.055474;129682;13000;4;52000
dataset0002;4;2.25;4.5;7.25;5.5;9.5;2.25;0.055312;129268;13750;4;55000
dataset0002;5;2.15;3.85;6.0;6.0;7.0;2.15;0.052984;130668;13250;4;53000
dataset0002;1;2.5;1.5;3.5;2.5;6.0;2.5;0.06101;63119;6000;2;12000
dataset0002;2;2.5;7.5;3.5;8.5;6.0;2.5;0.060584;63082;6500;2;13000
dataset0002;3;2.5;1.5;7.0;2.5;9.5;2.5;0.060596;63194;6500;2;13000
dataset0002;4;2.5;7.5;7.0;8.5;9.5;2.5;0.060502;63238;6500;2;13000
dataset0002;5;2.5;4.0;6.0;6.5;7.0;2.5;0.061362;130668;14500;4;58000
dataset0003;1;1.0;2.0;8.0;3.0;9.0;1.0;0.0237;62502;6000;2;12000
dataset0003;2;1.0;3.0;7.0;4.0;8.0;1.0;0.023634;62894;5500;2;11000
dataset0003;3;1.0;4.0;6.0;5.0;7.0;1.0;0.023922;62554;6500;2;13000
dataset0003;4;1.0;5.0;5.0;6.0;6.0;1.0;0.023952;62511;5500;2;11000
dataset0003;5;1.0;6.0;4.0;7.0;5.0;1.0;0.023596;124615;11250;4;45000
dataset0003;1;0.5;6.5;3.5;7.5;4.0;0.5;0.011866;61985;5000;2;10000
dataset0003;2;0.5;6.5;4.5;7.5;5.0;0.5;0.011548;124615;11000;4;44000
dataset0003;3;0.5;6.5;5.5;7.5;6.0;0.5;0.012204;62630;6000;2;12000
dataset0003;4;0.5;6.5;6.5;7.5;7.0;0.5;0.012134;125545;11750;4;47000
dataset0003;5;0.5;6.5;7.5;7.5;8.0;0.5;0.012252;62915;6000;2;12000
dataset0003;1;2.0;2.0;4.0;4.0;5.0;2.0;0.0484;124819;13750;4;55000
dataset0003;2;2.0;6.0;4.0;8.0;5.0;2.0;0.046926;124615;12250;4;49000
dataset0003;3;2.0;2.0;8.0;4.0;9.0;2.0;0.0477;125183;12000;4;48000
dataset0003;4;2.0;6.0;8.0;8.0;9.0;2.0;0.047616;125792;12000;4;48000
dataset0003;5;2.0;4.5;5.5;5.5;7.5;2.0;0.047872;125406;12750;4;51000
dataset0003;1;1.5;3.5;3.5;4.5;5.0;1.5;0.035924;62609;6000;2;12000
dataset0003;2;1.5;3.5;4.5;4.5;6.0;1.5;0.035826;62609;6000;2;12000
dataset0003;3;1.5;3.5;5.5;4.5;7.0;1.5;0.035802;62554;5500;2;11000
dataset0003;4;1.5;3.5;6.5;4.5;8.0;1.5;0.036136;62554;6000;2;12000
dataset0003;5;1.5;3.5;7.5;4.5;9.0;1.5;0.03568;62681;6000;2;12000
dataset0003;1;0.75;2.5;8.75;3.5;9.5;0.75;0.017722;62289;6000;2;12000
dataset0003;2;0.75;2.5;7.75;3.5;8.5;0.75;0.01757;125183;11000;4;44000
dataset0003;3;0.75;2.5;6.75;3.5;7.5;0.75;0.018098;62894;5500;2;11000
dataset0003;4;0.75;2.5;5.75;3.5;6.5;0.75;0.017612;62164;6000;2;12000
dataset0003;5;0.75;2.5;4.75;3.5;5.5;0.75;0.018174;124819;11250;4;45000
dataset0003;1;1.75;5.5;7.75;6.5;9.5;1.75;0.04226;63128;6000;2;12000
dataset0003;2;1.75;5.5;6.75;6.5;8.5;1.75;0.041744;63128;6000;2;12000
dataset0003;3;1.75;5.5;5.75;6.5;7.5;1.75;0.04176;62852;5500;2;11000
dataset0003;4;1.75;5.5;4.75;6.5;6.5;1.75;0.041422;62507;6000;2;12000
dataset0003;5;1.75;5.5;3.75;6.5;5.5;1.75;0.04141;62507;5500;2;11000
dataset0003;1;0.25;2.25;6.0;2.5;7.0;0.25;0.006062;62504;6000;2;12000
dataset0003;2;0.25;2.5;6.0;2.75;7.0;0.25;0.006016;62504;5500;2;11000
dataset0003;3;0.25;7.25;6.0;7.5;7.0;0.25;0.006062;62693;6000;2;12000
dataset0003;4;0.25;7.5;6.0;7.75;7.0;0.25;0.006032;62693;5500;2;11000
dataset0003;5;0.25;5.25;6.0;5.5;7.0;0.25;0.005854;62852;6000;2;12000
dataset0003;1;1.25;1.5;3.5;2.75;4.5;1.25;0.029686;31174;3000;1;3000
dataset0003;2;1.25;2.5;4.5;3.75;5.5;1.25;0.030266;124819;11250;4;45000
dataset0003;3;1.25;3.5;5.5;4.75;6.5;1.25;0.029562;31128;4000;1;4000
dataset0003;4;1.25;4.5;6.5;5.75;7.5;1.25;0.029792;125406;12000;4;48000
dataset0003;5;1.25;5.5;7.5;6.75;8.5;1.25;0.029926;63128;6000;2;12000
dataset0003;1;2.25;1.5;6.0;3.75;7.0;2.25;0.05331;125058;13250;4;53000
dataset0003;2;2.25;6.25;6.0;8.5;7.0;2.25;0.053732;125545;12250;4;49000
dataset0003;3;2.25;4.5;3.5;5.5;5.75;2.25;0.053724;125116;13000;4;52000
dataset0003;4;2.25;4.5;7.25;5.5;9.5;2.25;0.0541;125809;11250;4;45000
dataset0003;5;2.15;3.85;6.0;6.0;7.0;2.15;0.051492;125406;11250;4;45000
dataset0003;1;2.5;1.5;3.5;2.5;6.0;2.5;0.059142;62210;5500;2;11000
dataset0003;2;2.5;7.5;3.5;8.5;6.0;2.5;0.059034;62108;5000;2;10000
dataset0003;3;2.5;1.5;7.0;2.5;9.5;2.5;0.05966;62502;6000;2;12000
dataset0003;4;2.5;7.5;7.0;8.5;9.5;2.5;0.059778;62664;6000;2;12000
dataset0003;5;2.5;4.0;6.0;6.5;7.0;2.5;0.059682;125406;11000;4;44000
